date,hour,average,minimum,maximum
01/12/23,0,0,0,0
01/12/23,1,0,0,0
01/12/23,2,0,0,0
01/12/23,3,0,0,0
01/12/23,4,0,0,0
01/12/23,5,0,0,0
01/12/23,6,0,0,0
01/12/23,7,0,0,0
01/12/23,8,0,0,0
01/12/23,9,0,0,0
01/12/23,10,0,0,0
01/12/23,11,83,73,107
01/12/23,12,82,72,98
01/12/23,13,87,71,104
01/12/23,14,78,76,87
01/12/23,15,81,72,111
01/12/23,16,89,79,105
01/12/23,17,79,67,103
01/12/23,18,93,74,121
01/12/23,19,93,65,141
01/12/23,20,78,64,99
01/12/23,21,74,65,88
01/12/23,22,78,76,84
01/12/23,23,0,0,0
02/12/23,0,0,0,0
02/12/23,1,0,0,0
02/12/23,2,0,0,0
02/12/23,3,0,0,0
02/12/23,4,0,0,0
02/12/23,5,0,0,0
02/12/23,6,0,0,0
02/12/23,7,0,0,0
02/12/23,8,0,0,0
02/12/23,9,0,0,0
02/12/23,10,0,0,0
02/12/23,11,0,0,0
02/12/23,12,0,0,0
02/12/23,13,0,0,0
02/12/23,14,0,0,0
02/12/23,15,0,0,0
02/12/23,16,0,0,0
02/12/23,17,73,60,98
02/12/23,18,83,72,95
02/12/23,19,0,0,0
02/12/23,20,0,0,0
02/12/23,21,0,0,0
02/12/23,22,0,0,0
02/12/23,23,0,0,0
03/12/23,0,0,0,0
03/12/23,1,0,0,0
03/12/23,2,0,0,0
03/12/23,3,0,0,0
03/12/23,4,0,0,0
03/12/23,5,0,0,0
03/12/23,6,0,0,0
03/12/23,7,0,0,0
03/12/23,8,0,0,0
03/12/23,9,0,0,0
03/12/23,10,70,59,97
03/12/23,11,68,61,87
03/12/23,12,65,54,79
03/12/23,13,60,58,64
03/12/23,14,0,0,0
03/12/23,15,0,0,0
03/12/23,16,0,0,0
03/12/23,17,0,0,0
03/12/23,18,0,0,0
03/12/23,19,0,0,0
03/12/23,20,0,0,0
03/12/23,21,0,0,0
03/12/23,22,0,0,0
03/12/23,23,0,0,0
04/12/23,0,0,0,0
04/12/23,1,0,0,0
04/12/23,2,0,0,0
04/12/23,3,0,0,0
04/12/23,4,0,0,0
04/12/23,5,0,0,0
04/12/23,6,0,0,0
04/12/23,7,0,0,0
04/12/23,8,0,0,0
04/12/23,9,0,0,0
04/12/23,10,70,61,89
04/12/23,11,93,75,121
04/12/23,12,100,67,109
04/12/23,13,90,77,112
04/12/23,14,80,77,103
04/12/23,15,77,73,89
04/12/23,16,76,65,91
04/12/23,17,75,67,94
04/12/23,18,73,70,99
04/12/23,19,120,68,163
04/12/23,20,84,81,107
04/12/23,21,86,82,101
04/12/23,22,80,77,97
04/12/23,23,82,66,83
05/12/23,0,62,58,66
05/12/23,1,62,58,68
05/12/23,2,60,54,61
05/12/23,3,62,54,69
05/12/23,4,57,53,60
05/12/23,5,57,53,59
05/12/23,6,56,55,57
05/12/23,7,54,53,56
05/12/23,8,57,55,66
05/12/23,9,67,54,85
05/12/23,10,75,69,87
05/12/23,11,0,0,0
05/12/23,12,0,0,0
05/12/23,13,94,72,107
05/12/23,14,80,64,89
05/12/23,15,82,62,89
05/12/23,16,76,71,95
05/12/23,17,94,69,124
05/12/23,18,88,73,120
05/12/23,19,77,62,97
05/12/23,20,72,70,84
05/12/23,21,77,65,95
05/12/23,22,74,61,75
05/12/23,23,68,57,78
