date,hour,average,minimum,maximum
28/11/23,0,0.0,0.0,0.0
28/11/23,1,0.0,0.0,0.0
28/11/23,2,0.0,0.0,0.0
28/11/23,3,0.0,0.0,0.0
28/11/23,4,0.0,0.0,0.0
28/11/23,5,0.0,0.0,0.0
28/11/23,6,0.0,0.0,0.0
28/11/23,7,0.0,0.0,0.0
28/11/23,8,0.0,0.0,0.0
28/11/23,9,0.0,0.0,0.0
28/11/23,10,0.0,0.0,0.0
28/11/23,11,0.0,0.0,0.0
28/11/23,12,0.0,0.0,0.0
28/11/23,13,0.0,0.0,0.0
28/11/23,14,0.0,0.0,0.0
28/11/23,15,0.0,0.0,0.0
28/11/23,16,102.0,80.0,144.0
28/11/23,17,89.0,71.0,129.0
28/11/23,18,75.0,67.0,96.0
28/11/23,19,81.0,73.0,108.0
28/11/23,20,87.0,69.0,106.0
28/11/23,21,102.0,102.0,102.0
28/11/23,22,0.0,0.0,0.0
28/11/23,23,0.0,0.0,0.0
29/11/23,0,0.0,0.0,0.0
29/11/23,1,0.0,0.0,0.0
29/11/23,2,0.0,0.0,0.0
29/11/23,3,0.0,0.0,0.0
29/11/23,4,0.0,0.0,0.0
29/11/23,5,0.0,0.0,0.0
29/11/23,6,0.0,0.0,0.0
29/11/23,7,0.0,0.0,0.0
29/11/23,8,0.0,0.0,0.0
29/11/23,9,105.0,84.0,140.0
29/11/23,10,70.0,64.0,76.0
29/11/23,11,105.0,79.0,139.0
29/11/23,12,81.0,74.0,87.0
29/11/23,13,81.0,73.0,88.0
29/11/23,14,104.0,80.0,158.0
29/11/23,15,85.0,78.0,96.0
29/11/23,16,84.0,75.0,92.0
29/11/23,17,77.0,74.0,86.0
29/11/23,18,86.0,74.0,112.0
29/11/23,19,89.0,86.0,98.0
29/11/23,20,90.0,82.0,102.0
29/11/23,21,106.0,106.0,106.0
29/11/23,22,0.0,0.0,0.0
29/11/23,23,0.0,0.0,0.0
30/11/23,0,0.0,0.0,0.0
30/11/23,1,0.0,0.0,0.0
30/11/23,2,0.0,0.0,0.0
30/11/23,3,0.0,0.0,0.0
30/11/23,4,0.0,0.0,0.0
30/11/23,5,0.0,0.0,0.0
30/11/23,6,0.0,0.0,0.0
30/11/23,7,0.0,0.0,0.0
30/11/23,8,0.0,0.0,0.0
30/11/23,9,0.0,0.0,0.0
30/11/23,10,0.0,0.0,0.0
30/11/23,11,0.0,0.0,0.0
30/11/23,12,0.0,0.0,0.0
30/11/23,13,0.0,0.0,0.0
30/11/23,14,0.0,0.0,0.0
30/11/23,15,0.0,0.0,0.0
30/11/23,16,0.0,0.0,0.0
30/11/23,17,0.0,0.0,0.0
30/11/23,18,0.0,0.0,0.0
30/11/23,19,89.0,71.0,105.0
30/11/23,20,143.0,74.0,195.0
30/11/23,21,156.0,124.0,196.0
30/11/23,22,0.0,0.0,0.0
30/11/23,23,0.0,0.0,0.0
02/12/23,0,71.0,67.0,72.0
02/12/23,1,72.0,71.0,74.0
02/12/23,2,70.0,66.0,73.0
02/12/23,3,0.0,0.0,0.0
02/12/23,4,0.0,0.0,0.0
02/12/23,5,0.0,0.0,0.0
02/12/23,6,0.0,0.0,0.0
02/12/23,7,0.0,0.0,0.0
02/12/23,8,0.0,0.0,0.0
02/12/23,9,0.0,0.0,0.0
02/12/23,10,0.0,0.0,0.0
02/12/23,11,0.0,0.0,0.0
02/12/23,12,77.0,67.0,94.0
02/12/23,13,79.0,73.0,93.0
02/12/23,14,93.0,82.0,110.0
02/12/23,15,96.0,81.0,136.0
02/12/23,16,91.0,73.0,107.0
02/12/23,17,100.0,95.0,109.0
02/12/23,18,107.0,75.0,160.0
02/12/23,19,142.0,100.0,166.0
02/12/23,20,107.0,84.0,159.0
02/12/23,21,94.0,85.0,104.0
02/12/23,22,93.0,87.0,102.0
02/12/23,23,88.0,84.0,92.0
03/12/23,0,84.0,84,85
