Track Name,Artist Name,Album,Played At
Hold On,Justin Bieber,Hold On,2023-11-11T04:21:21.359Z
Daylight,Taylor Swift,Lover,2023-11-11T04:18:25.683Z
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),2023-11-11T04:13:31.853Z
Tu Jo Mila,Pritam,Bajrangi Bhaijaan,2023-11-11T04:09:40.978Z
Hold on,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),2023-11-11T04:05:37.878Z
Tu Jo Mila,Pritam,Bajrangi Bhaijaan,2023-11-09T18:29:14.932Z
Hold on,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),2023-11-09T18:25:11.485Z
Rainbow,Kacey Musgraves,Golden Hour,2023-11-09T18:21:49.398Z
Zehnaseeb,Vishal-Shekhar,Hasee Toh Phasee (Original Motion Picture Soundtrack),2023-11-09T18:16:00.880Z
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,Midnights,2023-11-09T18:12:22.995Z
SUBSTANCE,Demi Lovato,HOLY FVCK,2023-11-08T22:32:10.171Z
Chaand Baaliyan,Aditya A,Chaand Baaliyan,2023-11-08T22:31:31.743Z
Let Her Go,Passenger,All The Little Lights,2023-11-08T22:28:19.335Z
Baarishein,Anuv Jain,Baarishein,2023-11-08T22:24:06.142Z
Iktara,Amit Trivedi,Wake Up Sid (Original Motion Picture Soundtrack),2023-11-08T22:20:38.340Z
The Man,Taylor Swift,Lover,2023-11-08T22:14:54.459Z
Kahin To,Rashid Ali,Jaane Tu... Ya Jaane Na,2023-11-08T22:11:43.802Z
Don't Start Now,Dua Lipa,Don't Start Now,2023-11-08T22:03:36.566Z
God is a woman,Ariana Grande,Sweetener,2023-11-08T22:00:32.586Z
‘tis the damn season,Taylor Swift,evermore (deluxe version),2023-11-08T21:57:14.651Z
‘tis the damn season,Taylor Swift,evermore (deluxe version),2023-11-08T18:05:26.879Z
Pasoori,Shae Gill,Pasoori,2023-11-08T17:57:43.267Z
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",2023-11-08T17:53:58.547Z
Kabira (Encore),Pritam,Yeh Jawaani Hai Deewani,2023-11-08T17:50:02.206Z
The Fault in Our Stars,Troye Sivan,The Fault in Our Stars,2023-11-08T17:42:55.374Z
Shallow - Radio Edit,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),2023-11-08T17:38:17.970Z
Offo,Aditi Singh Sharma,2 States,2023-11-08T17:32:42.046Z
Baaraat,Ritviz,Baaraat,2023-11-07T18:31:59.584Z
Chittiyaan Kalaiyaan,Meet Bros Anjjan,Roy,2023-11-07T18:28:16.897Z
That's My Girl,Fifth Harmony,7/27 (Deluxe),2023-11-07T18:22:40.215Z
Doobey,OAFF,Gehraiyaan (Original Motion Picture Soundtrack),2023-11-07T18:19:15.706Z
Style,Taylor Swift,1989 (Deluxe Edition),2023-11-07T18:15:36.094Z
drivers license,Olivia Rodrigo,SOUR,2023-11-07T18:11:44.753Z
Diamonds (with Normani),Megan Thee Stallion,Diamonds (with Normani),2023-11-07T18:02:44.414Z
Chogada,Darshan Raval,Loveyatri - A Journey Of Love,2023-11-07T17:59:24.964Z
When We Were Young,Adele,25,2023-11-07T17:55:14.223Z
Maybe My Soulmate Died,iamnotshane,Maybe My Soulmate Died,2023-11-07T17:50:22.550Z
"no body, no crime (feat. HAIM)",Taylor Swift,evermore,2023-11-07T17:48:28.447Z
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2023-11-07T00:27:01.087Z
Aaj Mausam Bada Beimaan Hai,Sonu Nigam,Bollywood Unplugged,2023-11-04T23:36:32.294Z
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,2023-11-03T17:08:21.414Z
Moral of the Story,Ashe,Ashlyn,2023-11-03T16:58:59.653Z
Mercy,Shawn Mendes,Illuminate (Deluxe),2023-11-03T16:54:05.932Z
Wolves,Selena Gomez,Wolves,2023-11-02T21:23:35.936Z
Mercy,Shawn Mendes,Illuminate (Deluxe),2023-11-02T19:36:45.830Z
Mercy,Shawn Mendes,Illuminate (Deluxe),2023-11-02T16:45:58.967Z
Hall of Fame (feat. will.i.am),The Script,#3,2023-11-02T16:23:31.308Z
Unstoppable,Sia,This Is Acting (Deluxe Version),2023-11-02T16:19:20.261Z
no tears left to cry,Ariana Grande,Sweetener,2023-11-02T05:53:19.183Z
Scars To Your Beautiful,Alessia Cara,Know-It-All,2023-11-02T05:38:03.753Z
